User Data :
Assigned Num:               test
User Gender:                
User age:                   
User dominant hand:         
Date :                      
Width and Height of Screen: 3000, 2000
Center of Circle X:         1500
Center of Circle Y:         1000


trial Number: 1 | Actual Quadrant: 1 | Actual Coord x: 1527.7901418470544 | Actual Coord y: 1307.6659854453715 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2011.002995277694 | Actual dot distance from center: 308.91851770968816 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.83872536215664 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8927124872172844 | Difference between radii: -1493.8571200223066
trial Number: 8 | Actual Quadrant: 2 | Actual Coord x: 1690.6328575572418 | Actual Coord y: 893.8623430686592 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1912.388388222528 | Actual dot distance from center: 218.1881953711397 | User aprox distance from center: 1802.7756377319947 | Dot angle: -29.10751900564716 | User aprox angle: 33.690067525979785 | Difference between angles: -1.0960246472829365 | Difference between radii: -1584.587442360855

trial Number: 9 | Actual Quadrant: 1 | Actual Coord x: 1512.309354324649 | Actual Coord y: 1060.1613846315065 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1846.8951634138928 | Actual dot distance from center: 61.40775524858257 | User aprox distance from center: 1802.7756377319947 | Dot angle: 78.43656326777032 | User aprox angle: 33.690067525979785 | Difference between angles: 0.7809736794238674 | Difference between radii: -1741.3678824834121

trial Number: 10 | Actual Quadrant: 3 | Actual Coord x: 1460.9054620851603 | Actual Coord y: 752.9004347222273 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1643.5035241079268 | Actual dot distance from center: 250.17309618589908 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.00954322986776 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8258806513503064 | Difference between radii: -1552.6025415460956

trial Number: 11 | Actual Quadrant: 3 | Actual Coord x: 1450.6041992929906 | Actual Coord y: 802.2371031952489 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1657.6600715314232 | Actual dot distance from center: 203.8384371998893 | User aprox distance from center: 1802.7756377319947 | Dot angle: 75.9760068007526 | User aprox angle: 33.690067525979785 | Difference between angles: 0.7380288676431689 | Difference between radii: -1598.9372005321054

trial Number: 12 | Actual Quadrant: 2 | Actual Coord x: 1713.2228800110458 | Actual Coord y: 969.500507937054 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1968.5181918091455 | Actual dot distance from center: 215.39316511046158 | User aprox distance from center: 1802.7756377319947 | Dot angle: -8.14039353812179 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7300792731958633 | Difference between radii: -1587.3824726215332

trial Number: 13 | Actual Quadrant: 2 | Actual Coord x: 1796.395409539119 | Actual Coord y: 896.2809233603581 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2007.5746464310898 | Actual dot distance from center: 314.01892563162824 | User aprox distance from center: 1802.7756377319947 | Dot angle: -19.28671957349871 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9246193620139564 | Difference between radii: -1488.7567121003665

trial Number: 14 | Actual Quadrant: 1 | Actual Coord x: 1668.111059774605 | Actual Coord y: 1295.854213155042 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2112.3050559741673 | Actual dot distance from center: 340.2808308737504 | User aprox distance from center: 1802.7756377319947 | Dot angle: 60.393781502713125 | User aprox angle: 33.690067525979785 | Difference between angles: 0.46606773140482527 | Difference between radii: -1462.4948068582444

trial Number: 15 | Actual Quadrant: 1 | Actual Coord x: 1698.8418611010093 | Actual Coord y: 1310.7816776790528 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2145.742826055409 | Actual dot distance from center: 368.94896246922787 | User aprox distance from center: 1802.7756377319947 | Dot angle: 57.38839731011299 | User aprox angle: 33.690067525979785 | Difference between angles: 0.41361388195656146 | Difference between radii: -1433.826675262767

trial Number: 16 | Actual Quadrant: 1 | Actual Coord x: 1603.86753714304 | Actual Coord y: 1259.6687461411507 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2039.4009970346929 | Actual dot distance from center: 279.6718130142509 | User aprox distance from center: 1802.7756377319947 | Dot angle: 68.19858315487741 | User aprox angle: 33.690067525979785 | Difference between angles: 0.6022872177001853 | Difference between radii: -1523.103824717744

trial Number: 17 | Actual Quadrant: 3 | Actual Coord x: 1473.7501764057608 | Actual Coord y: 714.6560526378101 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1637.8867042710456 | Actual dot distance from center: 286.5488117842488 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.74394735238441 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8910582988882717 | Difference between radii: -1516.226825947746

trial Number: 18 | Actual Quadrant: 3 | Actual Coord x: 1426.5391216502444 | Actual Coord y: 819.1431646403835 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1644.995255244134 | Actual dot distance from center: 195.20680199268935 | User aprox distance from center: 1802.7756377319947 | Dot angle: 67.8938722000268 | User aprox angle: 33.690067525979785 | Difference between angles: 0.5969690082711464 | Difference between radii: -1607.5688357393053

trial Number: 19 | Actual Quadrant: 4 | Actual Coord x: 1470.7495810264636 | Actual Coord y: 1021.8388722257301 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1790.882187884248 | Actual dot distance from center: 36.50374433149544 | User aprox distance from center: 1802.7756377319947 | Dot angle: -36.74565913133125 | User aprox angle: 33.690067525979785 | Difference between angles: -1.2293353412048171 | Difference between radii: -1766.2718934004993

trial Number: 20 | Actual Quadrant: 3 | Actual Coord x: 1478.2335634697133 | Actual Coord y: 771.7135298425444 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1667.547972416508 | Actual dot distance from center: 229.3218049296182 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.55348273050893 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8877340641279786 | Difference between radii: -1573.4538328023766

trial Number: 21 | Actual Quadrant: 1 | Actual Coord x: 1709.0570301018013 | Actual Coord y: 1278.0883155318675 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2134.1006711117157 | Actual dot distance from center: 347.9050920442771 | User aprox distance from center: 1802.7756377319947 | Dot angle: 53.06544012281474 | User aprox angle: 33.690067525979785 | Difference between angles: 0.3381640456154539 | Difference between radii: -1454.8705456877176

trial Number: 22 | Actual Quadrant: 4 | Actual Coord x: 1242.319473358969 | Actual Coord y: 1083.6381684761218 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1648.5233859624768 | Actual dot distance from center: 270.91437214743564 | User aprox distance from center: 1802.7756377319947 | Dot angle: -17.982438535312063 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9018553635262696 | Difference between radii: -1531.861265584559

trial Number: 23 | Actual Quadrant: 4 | Actual Coord x: 1448.7299803876579 | Actual Coord y: 1035.6619153511133 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1780.8464726030597 | Actual dot distance from center: 62.45307932808372 | User aprox distance from center: 1802.7756377319947 | Dot angle: -34.82133717979735 | User aprox angle: 33.690067525979785 | Difference between angles: -1.195749587282148 | Difference between radii: -1740.322558403911

trial Number: 24 | Actual Quadrant: 3 | Actual Coord x: 1472.3901146669693 | Actual Coord y: 827.8821940038779 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1689.1777813237084 | Actual dot distance from center: 174.3182288489125 | User aprox distance from center: 1802.7756377319947 | Dot angle: 80.88666773465644 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8237360693888504 | Difference between radii: -1628.4574088830823

trial Number: 25 | Actual Quadrant: 1 | Actual Coord x: 1505.0491741439275 | Actual Coord y: 1039.6145849235302 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1829.1996888740832 | Actual dot distance from center: 39.935066022222756 | User aprox distance from center: 1802.7756377319947 | Dot angle: 82.73639026615362 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8560198178118007 | Difference between radii: -1762.840571709772

trial Number: 26 | Actual Quadrant: 3 | Actual Coord x: 1410.5923740996054 | Actual Coord y: 848.8685776754113 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1646.3136724308151 | Actual dot distance from center: 175.59735300680956 | User aprox distance from center: 1802.7756377319947 | Dot angle: 59.39192497044384 | User aprox angle: 33.690067525979785 | Difference between angles: 0.4485820362841134 | Difference between radii: -1627.1782847251852

trial Number: 27 | Actual Quadrant: 3 | Actual Coord x: 1361.5000115163057 | Actual Coord y: 776.4665579438893 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1567.3489072201287 | Actual dot distance from center: 262.9628234702314 | User aprox distance from center: 1802.7756377319947 | Dot angle: 58.217891576185025 | User aprox angle: 33.690067525979785 | Difference between angles: 0.4280912880259323 | Difference between radii: -1539.8128142617634

trial Number: 28 | Actual Quadrant: 1 | Actual Coord x: 1541.4937222123197 | Actual Coord y: 1291.177853248362 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2010.806590485281 | Actual dot distance from center: 294.11948457278004 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.88978281885719 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8412437303845736 | Difference between radii: -1508.6561531592147

trial Number: 29 | Actual Quadrant: 1 | Actual Coord x: 1632.7471231631678 | Actual Coord y: 1274.726122409441 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2071.4221818235437 | Actual dot distance from center: 305.1167662424082 | User aprox distance from center: 1802.7756377319947 | Dot angle: 64.21025773753365 | User aprox angle: 33.690067525979785 | Difference between angles: 0.5326778075265596 | Difference between radii: -1497.6588714895865

trial Number: 30 | Actual Quadrant: 2 | Actual Coord x: 1785.9114553685226 | Actual Coord y: 970.5986996167035 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2032.6193844677734 | Actual dot distance from center: 287.41920042887796 | User aprox distance from center: 1802.7756377319947 | Dot angle: -5.871292728849275 | User aprox angle: 33.690067525979785 | Difference between angles: -0.69047599301439 | Difference between radii: -1515.3564373031168

trial Number: 31 | Actual Quadrant: 4 | Actual Coord x: 1474.1886215468824 | Actual Coord y: 1020.4070075860234 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1792.892231292489 | Actual dot distance from center: 32.9040000040433 | User aprox distance from center: 1802.7756377319947 | Dot angle: -38.330622874901 | User aprox angle: 33.690067525979785 | Difference between angles: -1.2569981770548444 | Difference between radii: -1769.8716377279513

trial Number: 32 | Actual Quadrant: 2 | Actual Coord x: 1804.9049840980185 | Actual Coord y: 858.0106100975418 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1998.4654634648616 | Actual dot distance from center: 336.3451146853262 | User aprox distance from center: 1802.7756377319947 | Dot angle: -24.970644810853805 | User aprox angle: 33.690067525979785 | Difference between angles: -1.0238225718430032 | Difference between radii: -1466.4305230466684

trial Number: 33 | Actual Quadrant: 1 | Actual Coord x: 1512.2430797025083 | Actual Coord y: 1078.08321001588 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1857.1867272372672 | Actual dot distance from center: 79.03721077433082 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.08884505571415 | User aprox angle: 33.690067525979785 | Difference between angles: 0.827264729314169 | Difference between radii: -1723.738426957664

trial Number: 34 | Actual Quadrant: 3 | Actual Coord x: 1492.4631050543342 | Actual Coord y: 947.7730426677412 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1767.9705484979359 | Actual dot distance from center: 52.767981367564076 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.7883121290035 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8394727327523569 | Difference between radii: -1750.0076563644307

trial Number: 35 | Actual Quadrant: 2 | Actual Coord x: 1794.6079666395328 | Actual Coord y: 841.0861991841929 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1981.9292995422895 | Actual dot distance from center: 334.73489524877164 | User aprox distance from center: 1802.7756377319947 | Dot angle: -28.342764440228056 | User aprox angle: 33.690067525979785 | Difference between angles: -1.0826771621467146 | Difference between radii: -1468.040742483223

trial Number: 36 | Actual Quadrant: 1 | Actual Coord x: 1598.2518932415212 | Actual Coord y: 1162.9621847415715 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1976.5854794035586 | Actual dot distance from center: 190.28953776098504 | User aprox distance from center: 1802.7756377319947 | Dot angle: 58.91371127014383 | User aprox angle: 33.690067525979785 | Difference between angles: 0.44023563268573274 | Difference between radii: -1612.4860999710097

trial Number: 37 | Actual Quadrant: 3 | Actual Coord x: 1495.1129113410773 | Actual Coord y: 965.308691084165 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1779.6582499854899 | Actual dot distance from center: 35.03384863034692 | User aprox distance from center: 1802.7756377319947 | Dot angle: 81.98130558877729 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8428411040602245 | Difference between radii: -1767.7417891016478

trial Number: 38 | Actual Quadrant: 2 | Actual Coord x: 1530.436119360285 | Actual Coord y: 975.286244886301 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1814.777665419924 | Actual dot distance from center: 39.20621192532369 | User aprox distance from center: 1802.7756377319947 | Dot angle: -39.0761744433604 | User aprox angle: 33.690067525979785 | Difference between angles: -1.270010506667869 | Difference between radii: -1763.569425806671

trial Number: 39 | Actual Quadrant: 4 | Actual Coord x: 1466.7204184936909 | Actual Coord y: 1018.5175763840388 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1785.6782575339612 | Actual dot distance from center: 38.08452678416501 | User aprox distance from center: 1802.7756377319947 | Dot angle: -29.092637209172626 | User aprox angle: 33.690067525979785 | Difference between angles: -1.095764910935844 | Difference between radii: -1764.6911109478297

trial Number: 40 | Actual Quadrant: 4 | Actual Coord x: 1454.7433563697841 | Actual Coord y: 1008.3881771560161 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1770.0635436983775 | Actual dot distance from center: 46.02744082254704 | User aprox distance from center: 1802.7756377319947 | Dot angle: -10.500433346242604 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7712697383257067 | Difference between radii: -1756.7481969094476

trial Number: 41 | Actual Quadrant: 3 | Actual Coord x: 1413.3422611765427 | Actual Coord y: 657.0343921995418 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1558.5989027843707 | Actual dot distance from center: 353.7442180897552 | User aprox distance from center: 1802.7756377319947 | Dot angle: 75.81976915086675 | User aprox angle: 33.690067525979785 | Difference between angles: 0.7353020062370824 | Difference between radii: -1449.0314196422396

trial Number: 42 | Actual Quadrant: 3 | Actual Coord x: 1354.816986433857 | Actual Coord y: 759.6750017790785 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1553.2659704821197 | Actual dot distance from center: 280.77430829410446 | User aprox distance from center: 1802.7756377319947 | Dot angle: 58.86335745918284 | User aprox angle: 33.690067525979785 | Difference between angles: 0.4393567928935368 | Difference between radii: -1522.0013294378903

trial Number: 43 | Actual Quadrant: 4 | Actual Coord x: 1133.7078818018094 | Actual Coord y: 1104.1649283735412 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1582.5529218037836 | Actual dot distance from center: 380.81524149800276 | User aprox distance from center: 1802.7756377319947 | Dot angle: -15.874514645009857 | User aprox angle: 33.690067525979785 | Difference between angles: -0.8650651512590484 | Difference between radii: -1421.960396233992

trial Number: 44 | Actual Quadrant: 4 | Actual Coord x: 1194.089009498872 | Actual Coord y: 1195.350227580419 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1689.5889231356118 | Actual dot distance from center: 362.964523783114 | User aprox distance from center: 1802.7756377319947 | Dot angle: -32.5616985216132 | User aprox angle: 33.690067525979785 | Difference between angles: -1.156311452791488 | Difference between radii: -1439.8111139488808

trial Number: 45 | Actual Quadrant: 1 | Actual Coord x: 1552.844764770678 | Actual Coord y: 1291.2696260367543 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2019.5801817706572 | Actual dot distance from center: 296.0246006926772 | User aprox distance from center: 1802.7756377319947 | Dot angle: 79.71673844997194 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8033169513556039 | Difference between radii: -1506.7510370393175

trial Number: 46 | Actual Quadrant: 3 | Actual Coord x: 1390.8166568186548 | Actual Coord y: 670.841287290422 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1544.1499297729124 | Actual dot distance from center: 346.79455096769027 | User aprox distance from center: 1802.7756377319947 | Dot angle: 71.64909794949907 | User aprox angle: 33.690067525979785 | Difference between angles: 0.6625100617551091 | Difference between radii: -1455.9810867643046

trial Number: 47 | Actual Quadrant: 1 | Actual Coord x: 1614.1214863338055 | Actual Coord y: 1287.3419195630752 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2064.6155551358215 | Actual dot distance from center: 309.1748572915167 | User aprox distance from center: 1802.7756377319947 | Dot angle: 68.33887107197705 | User aprox angle: 33.690067525979785 | Difference between angles: 0.6047357037543389 | Difference between radii: -1493.600780440478

trial Number: 48 | Actual Quadrant: 2 | Actual Coord x: 1681.0173003162136 | Actual Coord y: 894.7778893140143 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1904.323143578225 | Actual dot distance from center: 209.37754318690457 | User aprox distance from center: 1802.7756377319947 | Dot angle: -30.168668961560144 | User aprox angle: 33.690067525979785 | Difference between angles: -1.1145452078710107 | Difference between radii: -1593.39809454509

trial Number: 49 | Actual Quadrant: 3 | Actual Coord x: 1352.6684141532457 | Actual Coord y: 710.9660438647898 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1528.131065771718 | Actual dot distance from center: 324.41828553164225 | User aprox distance from center: 1802.7756377319947 | Dot angle: 62.99033337961762 | User aprox angle: 33.690067525979785 | Difference between angles: 0.5113861108556471 | Difference between radii: -1478.3573522003526

trial Number: 50 | Actual Quadrant: 3 | Actual Coord x: 1488.6303316063877 | Actual Coord y: 890.7997066091735 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1734.8038452440476 | Actual dot distance from center: 109.79058901391906 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.0559202101512 | User aprox angle: 33.690067525979785 | Difference between angles: 0.879049959913215 | Difference between radii: -1692.9850487180756

trial Number: 51 | Actual Quadrant: 3 | Actual Coord x: 1376.108630267846 | Actual Coord y: 838.6796937703934 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1611.5391993496305 | Actual dot distance from center: 203.4043084502473 | User aprox distance from center: 1802.7756377319947 | Dot angle: 52.47632391803709 | User aprox angle: 33.690067525979785 | Difference between angles: 0.3278820281652306 | Difference between radii: -1599.3713292817474

trial Number: 52 | Actual Quadrant: 2 | Actual Coord x: 1517.2681396640137 | Actual Coord y: 991.0759796565359 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1812.2732148027956 | Actual dot distance from center: 19.437767015437863 | User aprox distance from center: 1802.7756377319947 | Dot angle: -27.329516901964887 | User aprox angle: 33.690067525979785 | Difference between angles: -1.064992656466295 | Difference between radii: -1783.3378707165568

trial Number: 53 | Actual Quadrant: 4 | Actual Coord x: 1328.2999227457076 | Actual Coord y: 1075.5232780845681 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1709.1316527605554 | Actual dot distance from center: 187.57580350825899 | User aprox distance from center: 1802.7756377319947 | Dot angle: -23.742573071950257 | User aprox angle: 33.690067525979785 | Difference between angles: -1.002388676548444 | Difference between radii: -1615.1998342237357

trial Number: 54 | Actual Quadrant: 2 | Actual Coord x: 1641.4442120863637 | Actual Coord y: 971.402803638278 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1907.3443601793908 | Actual dot distance from center: 144.30614946177144 | User aprox distance from center: 1802.7756377319947 | Dot angle: -11.429984902693013 | User aprox angle: 33.690067525979785 | Difference between angles: -0.7874934735528043 | Difference between radii: -1658.4694882702233

trial Number: 55 | Actual Quadrant: 4 | Actual Coord x: 1303.968121396792 | Actual Coord y: 1114.9858006315476 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1715.6707718059 | Actual dot distance from center: 227.26687346725416 | User aprox distance from center: 1802.7756377319947 | Dot angle: -30.39447263263031 | User aprox angle: 33.690067525979785 | Difference between angles: -1.1184862253942753 | Difference between radii: -1575.5087642647406

trial Number: 56 | Actual Quadrant: 1 | Actual Coord x: 1522.2503202027942 | Actual Coord y: 1031.4803336849247 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1838.803338080577 | Actual dot distance from center: 38.54981398192578 | User aprox distance from center: 1802.7756377319947 | Dot angle: 54.74730548578389 | User aprox angle: 33.690067525979785 | Difference between angles: 0.36751813377451503 | Difference between radii: -1764.225823750069

trial Number: 57 | Actual Quadrant: 2 | Actual Coord x: 1841.1292467503827 | Actual Coord y: 856.5461278010132 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 2030.622607056895 | Actual dot distance from center: 370.06509756712626 | User aprox distance from center: 1802.7756377319947 | Dot angle: -22.808041460521192 | User aprox angle: 33.690067525979785 | Difference between angles: -0.9860780229650385 | Difference between radii: -1432.7105401648685

trial Number: 58 | Actual Quadrant: 3 | Actual Coord x: 1470.365934902497 | Actual Coord y: 688.2821268115953 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1623.4864547048082 | Actual dot distance from center: 313.12331481271946 | User aprox distance from center: 1802.7756377319947 | Dot angle: 84.56938631395613 | User aprox angle: 33.690067525979785 | Difference between angles: 0.888011634021998 | Difference between radii: -1489.6523229192753

trial Number: 59 | Actual Quadrant: 1 | Actual Coord x: 1582.3301345979767 | Actual Coord y: 1153.2689449335237 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1958.0086604009018 | Actual dot distance from center: 173.9816672639864 | User aprox distance from center: 1802.7756377319947 | Dot angle: 61.75703197463698 | User aprox angle: 33.690067525979785 | Difference between angles: 0.489860940669263 | Difference between radii: -1628.7939704680084

trial Number: 60 | Actual Quadrant: 1 | Actual Coord x: 1549.852629464153 | Actual Coord y: 1258.968946883194 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1996.7588693362873 | Actual dot distance from center: 263.72371928645447 | User aprox distance from center: 1802.7756377319947 | Dot angle: 79.10361165113186 | User aprox angle: 33.690067525979785 | Difference between angles: 0.7926158699836315 | Difference between radii: -1539.0519184455402

trial Number: 61 | Actual Quadrant: 3 | Actual Coord x: 1443.2880728607656 | Actual Coord y: 680.8509613055558 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1595.8190664272822 | Actual dot distance from center: 324.14865660593705 | User aprox distance from center: 1802.7756377319947 | Dot angle: 79.9238710326726 | User aprox angle: 33.690067525979785 | Difference between angles: 0.8069320969118897 | Difference between radii: -1478.6269811260577

trial Number: 62 | Actual Quadrant: 1 | Actual Coord x: 1511.5805772242759 | Actual Coord y: 1090.4520023905775 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1863.8565961358977 | Actual dot distance from center: 91.19032023911558 | User aprox distance from center: 1802.7756377319947 | Dot angle: 82.70410794671194 | User aprox angle: 33.690067525979785 | Difference between angles: 0.855456385047363 | Difference between radii: -1711.585317492879

trial Number: 63 | Actual Quadrant: 3 | Actual Coord x: 1392.4252598418523 | Actual Coord y: 687.5648166608323 | User Quadrant: 3 | User Coord x: 0 | User Coord y: 0 | Distance between: 1552.930610605475 | Actual dot distance from center: 330.436179175756 | User aprox distance from center: 1802.7756377319947 | Dot angle: 71.0008723371885 | User aprox angle: 33.690067525979785 | Difference between angles: 0.6511963905245334 | Difference between radii: -1472.3394585562387

